,election_district,registered_voters,voted_in_2016,ratio_voted
225,25059,1140,613.0,0.537719298245614
226,25060,713,355.0,0.49789621318373073
227,25061,1129,599.0,0.5305580159433126
228,25062,1098,445.0,0.40528233151183973
229,25063,883,399.0,0.45186862967157415
230,25064,896,476.0,0.53125
231,25065,913,495.0,0.5421686746987951
232,25066,140,74.0,0.5285714285714286
233,25068,827,336.0,0.4062877871825877
234,25069,606,253.0,0.4174917491749175
235,25070,451,242.0,0.5365853658536586
236,25071,876,497.0,0.567351598173516
237,25072,883,461.0,0.522083805209513
238,25073,727,454.0,0.624484181568088
239,25074,841,328.0,0.39001189060642094
240,25075,706,446.0,0.6317280453257791
241,25076,562,326.0,0.5800711743772242
242,25077,424,275.0,0.6485849056603774
243,25078,539,305.0,0.5658627087198516
244,25079,526,265.0,0.5038022813688213
245,26001,512,283.0,0.552734375
246,26002,224,142.0,0.6339285714285714
247,26003,1085,636.0,0.5861751152073733
248,26004,1063,616.0,0.5794920037629351
249,26005,796,452.0,0.5678391959798995
250,26006,1089,665.0,0.610651974288338
251,26007,867,492.0,0.5674740484429066
252,26008,1137,729.0,0.6411609498680739
253,26009,1069,716.0,0.6697848456501403
254,26010,1103,681.0,0.6174070716228468
255,26011,1029,655.0,0.6365403304178814
256,26012,960,608.0,0.6333333333333333
257,26013,1125,675.0,0.6
258,26014,1107,708.0,0.6395663956639567
259,26015,1060,765.0,0.7216981132075472
260,26016,1113,793.0,0.7124887690925427
261,26017,1038,723.0,0.6965317919075145
262,26018,1079,733.0,0.6793327154772938
263,26019,659,385.0,0.5842185128983308
264,26020,1061,777.0,0.7323279924599434
265,26021,877,601.0,0.685290763968073
266,26022,1076,677.0,0.629182156133829
267,26023,1043,682.0,0.6538830297219559
268,26024,847,599.0,0.7072018890200709
269,26025,842,586.0,0.6959619952494062
270,26026,1083,744.0,0.6869806094182825
271,26027,990,645.0,0.6515151515151515
272,26028,1141,749.0,0.656441717791411
273,26029,1094,747.0,0.6828153564899452
274,26030,1094,752.0,0.6873857404021938
275,26031,1078,746.0,0.6920222634508348
276,26032,1058,662.0,0.6257088846880907
277,26033,1061,698.0,0.6578699340245052
278,26034,1078,676.0,0.62708719851577
279,26035,1081,670.0,0.6197964847363552
280,26036,553,288.0,0.5207956600361664
281,26037,825,517.0,0.6266666666666667
282,26038,107,65.0,0.6074766355140186
283,26039,762,406.0,0.5328083989501312
284,26040,795,417.0,0.5245283018867924
285,26041,143,54.0,0.3776223776223776
286,26042,700,414.0,0.5914285714285714
287,26043,572,309.0,0.5402097902097902
288,26044,605,301.0,0.4975206611570248
289,26045,969,631.0,0.651186790505676
290,26046,1061,695.0,0.6550424128180962
291,26047,925,641.0,0.692972972972973
292,26048,1079,684.0,0.633920296570899
293,26049,974,567.0,0.582135523613963
294,26050,977,588.0,0.601842374616172
295,26051,809,420.0,0.519159456118665
296,26052,932,536.0,0.575107296137339
297,26053,1134,605.0,0.5335097001763669
298,26054,1015,606.0,0.5970443349753695
299,26055,1060,572.0,0.539622641509434
300,26056,915,594.0,0.6491803278688525
301,26057,981,584.0,0.5953109072375128
302,26058,960,590.0,0.6145833333333334
303,26059,960,637.0,0.6635416666666667
304,26060,904,617.0,0.6825221238938053
305,26061,1121,680.0,0.6066012488849242
306,26062,1156,654.0,0.5657439446366782
307,26063,1100,687.0,0.6245454545454545
308,26064,961,618.0,0.6430801248699272
309,26065,629,408.0,0.6486486486486487
310,26066,1059,689.0,0.6506137865911237
311,26067,1149,696.0,0.6057441253263708
312,26068,971,643.0,0.6622039134912462
